strategy,family,symbol,asset_class,kind,cadence,score,label,broken,sharpe_annual,best_sharpe_annual,search_premium,n_trials,bars,years,first_date,last_date,fingerprint,shipped_json,best_params_json,seed
bollinger-breakout,breakout,JPM,equity,single-name,daily,0.36397402796132833,NO EDGE FOUND,0,-0.38993631214816976,0.11283251848909372,0.5027688306372635,16,6000,23.80952380952381,2002-09-19,2026-07-27,8d39e2b319afc5bf,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",3077465479
bollinger-breakout,breakout,KO,equity,single-name,daily,0.35922456238492373,NO EDGE FOUND,0,-0.2643629615987135,0.2025800895490276,0.46694305114774104,16,6000,23.80952380952381,2002-09-19,2026-07-27,ffc188cf5c75c9a7,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 10}",3422927289
bollinger-breakout,breakout,LINK-USD,crypto,alt,daily,0.10000000000000002,NO EDGE FOUND,0,-0.9116230425494944,0.0,0.9116230425494944,16,2589,7.093150684931507,2019-06-27,2026-07-28,f355d60cdcb8f5ff,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",1195148106
bollinger-breakout,breakout,LINK-USD,crypto,alt,daily-matched,0.32957190283792326,NO EDGE FOUND,0,-0.9331514909274861,0.37781212326855784,1.310963614196044,16,1668,4.5698630136986305,2022-01-03,2026-07-28,0e24007d037ef54a,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 10}",1828461578
bollinger-breakout,breakout,LINK-USD,crypto,alt,hourly,1.6156235067807674,NO EDGE FOUND,0,-1.4153712328003258,0.17186922924860065,1.5872404620489264,16,40000,4.566210045662101,2022-01-02,2026-07-28,e84912931c56bcab,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",400752535
bollinger-breakout,breakout,LTC-USD,crypto,alt,daily,0.5746057342933136,NO EDGE FOUND,0,-0.2846385878275526,0.3858533859489721,0.6704919737765247,16,3000,8.219178082191782,2018-05-12,2026-07-28,45bd3733bd838db0,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",1538478774
bollinger-breakout,breakout,LTC-USD,crypto,alt,daily-matched,0.5040117117324967,NO EDGE FOUND,0,-0.24946650627480324,0.42634468648751833,0.6758111927623216,16,1668,4.5698630136986305,2022-01-03,2026-07-28,3929c9c3fd2cb14e,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",2658362050
bollinger-breakout,breakout,LTC-USD,crypto,alt,hourly,0.41806186826223873,NO EDGE FOUND,0,-2.0475297089493742,0.0,2.0475297089493742,16,40000,4.566210045662101,2022-01-02,2026-07-28,7b4543730a5cc9f8,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",1322876991
bollinger-breakout,breakout,MSFT,equity,single-name,daily,0.42762788029998106,NO EDGE FOUND,0,-0.45106089643850944,0.38625809025775354,0.8373189866962629,16,6000,23.80952380952381,2002-09-19,2026-07-27,2c03ca84193dbdcc,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",1246817854
bollinger-breakout,breakout,PG,equity,single-name,daily,0.4251244201441804,NO EDGE FOUND,0,-0.6908492042629323,0.0,0.6908492042629323,16,6000,23.80952380952381,2002-09-18,2026-07-27,02adf17cafa2f74b,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",4122801686
bollinger-breakout,breakout,QQQ,equity,index,daily,0.3788341441179316,NO EDGE FOUND,0,-0.41236061033254223,0.13770906905265598,0.5500696793851982,16,6000,23.80952380952381,2002-09-19,2026-07-27,ba66b52a077e6366,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",2713137176
bollinger-breakout,breakout,SOL-USD,crypto,alt,daily,52.37027507807418,UNPROVEN,0,0.5316164216464893,1.1239930640604736,0.5923766424139844,16,1868,5.117808219178082,2021-06-17,2026-07-28,dca1c84efd949b4b,"{""k"": 2.0, ""n"": 20}","{""k"": 1.5, ""n"": 20}",2522065834
bollinger-breakout,breakout,SOL-USD,crypto,alt,daily-matched,10.46027494334833,NO EDGE FOUND,0,0.2180633569751613,0.8280910312314934,0.6100276742563321,16,1668,4.5698630136986305,2022-01-03,2026-07-28,9c5f014620760d66,"{""k"": 2.0, ""n"": 20}","{""k"": 1.5, ""n"": 20}",2841838361
bollinger-breakout,breakout,SOL-USD,crypto,alt,hourly,0.4234874648194214,NO EDGE FOUND,0,-1.9599660468224018,0.0,1.9599660468224018,16,40000,4.566210045662101,2022-01-02,2026-07-28,624665e6c1e94350,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",729657234
bollinger-breakout,breakout,SPY,equity,index,daily,0.3878012111125025,NO EDGE FOUND,0,-0.6157519290607495,0.06272045931441889,0.6784723883751684,16,6000,23.80952380952381,2002-09-19,2026-07-27,e8d29d1daa7b56db,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 20}",3459563398
bollinger-breakout,breakout,TLT,equity,bond,daily,0.4196433309903533,NO EDGE FOUND,0,-0.5010070940071915,0.3182582492265095,0.8192653432337009,16,6000,23.80952380952381,2002-09-19,2026-07-27,6a9e6977793d2ca2,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",1430350954
bollinger-breakout,breakout,USO,equity,commodity,daily,12.421165888019143,NO EDGE FOUND,0,0.2727622040637329,0.4095129974238344,0.13675079336010149,16,5105,20.25793650793651,2006-04-10,2026-07-27,1410a2840d723591,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 50}",689007109
bollinger-breakout,breakout,WMT,equity,single-name,daily,0.42638304020406936,NO EDGE FOUND,0,-0.45633666118383875,0.36715492347955986,0.8234915846633986,16,6000,23.80952380952381,2002-09-19,2026-07-27,d0826738a016cb3c,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",4259625715
bollinger-breakout,breakout,XOM,equity,single-name,daily,0.3948636179312473,NO EDGE FOUND,0,-0.29558156297363364,0.14300342098510702,0.4385849839587407,16,6000,23.80952380952381,2002-09-19,2026-07-27,55c059ce6bc53d6b,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 10}",1882407085
bollinger-breakout,breakout,XRP-USD,crypto,alt,daily,38.42468636896314,LIKELY OVERFIT,0,0.38046479917825937,1.1835860331879846,0.8031212340097252,16,1112,3.0465753424657533,2023-07-13,2026-07-28,82298b3ca5572259,"{""k"": 2.0, ""n"": 20}","{""k"": 1.5, ""n"": 10}",229329920
bollinger-breakout,breakout,XRP-USD,crypto,alt,daily-matched,36.29285291680885,LIKELY OVERFIT,0,0.38063590075707465,1.1841201478472156,0.803484247090141,16,1111,3.043835616438356,2023-07-14,2026-07-28,937756a3b94649c2,"{""k"": 2.0, ""n"": 20}","{""k"": 1.5, ""n"": 10}",1782265707
bollinger-breakout,breakout,XRP-USD,crypto,alt,hourly,0.4212325324201489,NO EDGE FOUND,0,-2.1595101342776215,0.0,2.1595101342776215,16,26636,3.040639269406393,2023-07-13,2026-07-28,d2385d2ede5d8586,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",768196130
bollinger-reversion,reversion,AAPL,equity,single-name,daily,0.39930303775456666,NO EDGE FOUND,0,-0.605198740277265,0.0,0.605198740277265,16,6000,23.80952380952381,2002-09-19,2026-07-27,da98d501a2ab54aa,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",876650659
bollinger-reversion,reversion,ADA-USD,crypto,alt,daily,0.7398631393768401,NO EDGE FOUND,0,-0.0546112377615075,0.32801972855941924,0.38263096632092675,16,1959,5.367123287671233,2021-03-18,2026-07-28,4780684148828b33,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 10}",2554036787
bollinger-reversion,reversion,ADA-USD,crypto,alt,daily-matched,0.26253746544906487,NO EDGE FOUND,0,-0.11005419286407618,0.24638665224456072,0.3564408451086369,16,1668,4.5698630136986305,2022-01-03,2026-07-28,a1d1ee2236137984,"{""k"": 2.0, ""n"": 20}","{""k"": 2.5, ""n"": 30}",4258071115
bollinger-reversion,reversion,ADA-USD,crypto,alt,hourly,0.5214220466758369,NO EDGE FOUND,0,-0.629193735793762,0.0,0.629193735793762,16,40000,4.566210045662101,2022-01-02,2026-07-28,257ae0f4d459cca3,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",307915055
bollinger-reversion,reversion,AVAX-USD,crypto,alt,daily,0.4542027446293139,NO EDGE FOUND,0,-0.6485576401500618,0.0,0.6485576401500618,16,1763,4.83013698630137,2021-09-30,2026-07-28,c68ed13049e83a0d,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",625539547
bollinger-reversion,reversion,AVAX-USD,crypto,alt,daily-matched,0.17166113632554875,NO EDGE FOUND,0,-0.6218272909138822,0.0,0.6218272909138822,16,1668,4.5698630136986305,2022-01-03,2026-07-28,6633867af4369d8a,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",3179878160
bollinger-reversion,reversion,AVAX-USD,crypto,alt,hourly,0.41481414565807445,NO EDGE FOUND,0,-1.2171829696609495,0.0,1.2171829696609495,16,40000,4.566210045662101,2022-01-02,2026-07-28,dc60459e7ce3c639,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",1924735725
bollinger-reversion,reversion,BTC-USD,crypto,major,daily,0.6274710987039956,NO EDGE FOUND,0,-0.3614696050100339,0.0,0.3614696050100339,16,3000,8.219178082191782,2018-05-12,2026-07-28,8c54f05af1fa6832,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",3522100235
bollinger-reversion,reversion,BTC-USD,crypto,major,daily-matched,3.699371777234621,NO EDGE FOUND,0,0.14813965430416967,0.14813965430416967,0.0,16,1668,4.5698630136986305,2022-01-03,2026-07-28,092eac412e06035c,"{""k"": 2.0, ""n"": 20}","{""k"": 2.0, ""n"": 20}",1735903165
bollinger-reversion,reversion,BTC-USD,crypto,major,hourly,0.42518193399796905,NO EDGE FOUND,0,-1.448062971576427,0.0,1.448062971576427,16,40000,4.566210045662101,2022-01-02,2026-07-28,61c70f9e887656d6,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 10}",478787096
bollinger-reversion,reversion,DIA,equity,index,daily,14.19760102371491,NO EDGE FOUND,0,0.08728788651467215,0.2840413006009639,0.19675341408629174,16,6000,23.80952380952381,2002-09-19,2026-07-27,f3215cf88fd40869,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 20}",3066805838
bollinger-reversion,reversion,DOGE-USD,crypto,alt,daily,0.4830401607737278,NO EDGE FOUND,0,-0.47845325835769265,0.093620886520691,0.5720741448783837,16,1882,5.156164383561644,2021-06-03,2026-07-28,2b6ebd6ffbc16945,"{""k"": 2.0, ""n"": 20}","{""k"": 3.0, ""n"": 30}",3167001417
